input_prompt,question,correct_answers,output_prediction,processed_answer
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: A particular song was copyrighted in 1935 by the Summy Company, crediting authors Preston Ware Orem and Mrs. R.R. Forman. The company was purchased in 1990 by Warner Chappell for US$15 million, with the value of the song estimated at US$5 million. What is the song?\nA:""]","A particular song was copyrighted in 1935 by the Summy Company, crediting authors Preston Ware Orem and Mrs. R.R. Forman. The company was purchased in 1990 by Warner Chappell for US$15 million, with the value of the song estimated at US$5 million. What is the song?","['good morning dear teacher', 'happy birthday to you', 'happy birthday to you happy birthday to you', 'rupa marya v warner chappell music inc', 'good morning to all', 'happy birthday to you', 'happy birthday song', 'happy birthday to you', 'happy birthday to you', 'happy birthday to you happy birthday to you']"," Happy Birthday to You
Q: What", Happy Birthday to You
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: New Britain and New Ireland are two of the islands that make up which country?\nA:""]",New Britain and New Ireland are two of the islands that make up which country?,"['iso 31661pg', 'papua niu gini', 'new guinea papua', 'independent state of papua new guinea', 'health in papua new guinea', 'papa new guinea', 'papouasienouvelleguinee', 'papuanewguinea', 'independen stet bilong papua niugini', 'papua new guinea', 'papuanew guinea', 'state of papua new guinea', 'papua niugini', 'niugini', 'papa new guinans', 'environment of papua new guinea', 'papuanewguinea', 'papua new guinean', 'papau new guinea', 'papua new guinea', 'papa new guinea', 'niu gini', 'paupa new guinea', 'east papua', 'pappa new guinans', 'pua pua new guniea', 'papua new guinea', 'pappa new guinea', 'papua new guinea', 'papua new guinea', 'papuanew guinea', 'papua newguinea', 'papua ng']"," Papua New Guinea
Q: What is", Papua New Guinea
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who killed Lee harvey Oswald?\nA:""]",Who killed Lee harvey Oswald?,"['tom howard attorney', 'jack rubenstein', 'jack ruby', 'jack ruby and mafia', 'jack leon ruby', 'karen bennett carlin', 'jacob leon rubenstein', 'jacob rubenstein', 'jack leon rubenstein']"," Jack Ruby
Q: What is the", Jack Ruby
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What was the title of George Washingtons pronouncement in 1793 that provided a basis for the USA to avoid any involvement in foreign conflicts?\nA:""]",What was the title of George Washingtons pronouncement in 1793 that provided a basis for the USA to avoid any involvement in foreign conflicts?,"['proclamation of neutrality', 'proclamation of neutrality', 'neutrality proclamation']"," Proclamation of Neutrality
Q", Proclamation of Neutrality
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: A Lemur is a small primate found only on which island?\nA:""]",A Lemur is a small primate found only on which island?,"['island of moon', 'health in madagascar', 'madagascar', 'health care in madagascar', 'island of moon', 'iso 31661mg', 'madegasgar', 'madagasgar', 'madagascar', 'madgascar', 'etymology of madagascar', 'sport in madagascar', 'republic of madagascar', 'island of madagascar', 'republic of madagascar', 'administrative divisions of madagascar', 'madigascar', 'first republic of madagascar', 'madagaskar', 'madegascar']"," Madagascar
Q: Who was the first", Madagascar
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In which US city did the 2004 remake of the film Alfie take place?\nA:""]",In which US city did the 2004 remake of the film Alfie take place?,"['new yourk state', 'state of ny', 'usny', 'n y', 'state of ny', 'newyork', 'nys', 'neo york', 'ny state', 'nova york', 'state of new york', 'ny', 'new york', 'nueva york estado', 'n y state', 'new york state', 'us state of new york', 'new york state', 'new york us', 'state new york', 'nýjajórvík', 'newyork', 'new york', 'state of n y', 'n y state', 'ny', 'state of ny', 'ny state', 'new yorks', 'ny us state', 'state of new yourk', 'new york state', 'new york us state', 'new york state', 'new yrok', '11th state', 'new york usa state', 'state of n y', 'newyork', 'state of new york', 'state of new york', 'us state of new york', 'n y us state', 'ny state', 'ny', 'state of n y', 'n y state', 'state of n y', 'new york us', 'ny state', 'nyjajorvik', 'religion in new york', 'new yourk', 'n y', 'new york states', 'estado nueva york', 'new york usa state', 'new york population', 'new york usa', 'new york', 'ny us state', 'estado de nueva york', 'n y us state', 'eleventh state', 'n y state', 'state of ny', 'new york state', 'new york us state']"," New York
Q: What is the", New York
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which English cricket captain had a well-publicised row with Pakistani umpire Shakoor Rana in Faisalabad in 1987?\nA:""]",Which English cricket captain had a well-publicised row with Pakistani umpire Shakoor Rana in Faisalabad in 1987?,"['michael 22mike22 william gatting obe', 'michael 22mike22 william gatting obe', 'mike gatting', 'gatting michael william', 'michael 22mike22 william gatting', 'michael william gatting', 'michael william gatting obe', 'michael 22mike22 william gatting']"," Mike Gatting
Q: In which", Mike Gatting
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: American jazz musician Art Tatum excelled on which instrument?\nA:""]",American jazz musician Art Tatum excelled on which instrument?,"['pianos', 'classical piano', 'piano music', 'pianino', 'black key', 'grand piano', 'pianoforte', 'pianoforte', 'piano construction', 'vertical pianoforte', 'pianie', 'keyboard hammer', 'piano', 'piano hammers', 'piano keys', 'piano keys', 'piano hammer', 'pianofortes', 'acoustic piano', 'baby grand piano', 'hammer piano', 'grand pianoforte', 'piano technique', 'parts of piano', 'piano music', 'keyboard hammers', 'piano performance', 'upright pianoforte', 'concert grand', 'upright piano', 'vertical piano', 'piano forte', 'grand piano']"," Piano
Q: Who was the first", Piano
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which mountain peak is the highest point in the Western Hemisphere?\nA:""]",Which mountain peak is the highest point in the Western Hemisphere?,"['highest mountain in south america', 'cerro aconcagua', 'mt aconcagua', 'aconcagua mountain', 'aconcagua mountain', 'mount aconcagua', 'aconcagua', 'acancogua', 'acancagua', 'aconcagua']"," Mt. McKinley
Q: What", Mt. McKinley
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who had a 70s No 1 hit with Let's Do It Again?\nA:""]",Who had a 70s No 1 hit with Let's Do It Again?,"['staple singers', 'staple singers', 'staples singers', 'staples singers', 'cleotha staples']"," The Staple Singers
Q:", The Staple Singers
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In which US state is Denali National Park?\nA:""]",In which US state is Denali National Park?,"['fortyninth state', 'arasuka', 'alaska united states', 'alyaska', 'religion in alaska', 'fortyninth state', 'аляска', 'alaska city alaska', 'alaska', 'alaska us state', 'alaska usa', 'education in alaska', 'rail transport in alaska', 'town alaska', 'alasca', 'alaskan', '49th state', 'alaska', 'alaska heritage resources survey', 'alaskans', 'elaska', 'state of alaska', 'alaksa', 'city alaska', 'usak', 'culture of alaska', 'ulaska', 'largest us state', 'alaska', 'film industry in alaska', 'recording district alaska', 'alaska state']"," Alaska
Q: Who was the first", Alaska
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the origin of the word Punic as in the Punic Wars?\nA:""]",What is the origin of the word Punic as in the Punic Wars?,"['qartḥadšat', 'qarthadshat', 'carthage', 'carthage tunisia', 'carthago', 'qarthadsat', 'carthage extinct city', 'elishat', 'roman carthage', 'carthage ancient city', 'carthaginean republic', 'carthage africa', 'carthagians', 'site of carthage', 'carchedon', 'ancient empire carthage', 'qarṭāj', 'qartḥadšat', 'cathago', 'kathago', 'carthagine', 'carthagina', 'qartḥadshat', 'libyophoenicians', 'qarthadshat', 'carthaginian', 'carthage', 'archaeological site of carthage', 'qarthadsat', 'qartḥadshat', 'carthage tunis', 'karthage']"," Phoenician
Q: What is", Phoenician
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which World War II Aircraft was known as the 'Flying Stringbag'?\nA:""]",Which World War II Aircraft was known as the 'Flying Stringbag'?,"['fairey swordfish mkiii', 'fairey swordfish', 'swordfish bomber', 'fairey swordfish', 'swordfish airplane', 'stringbag', 'swordfish airplane', 'swordfish plane', 'swordfish aeroplane', 'fairey swordfish mk 2', 'swordfish bomber', 'swordfish aircraft', 'swordfish aeroplane', 'swordfish aircraft', 'swordfish plane']"," The Supermarine Spitfire
Q:", The Supermarine Spitfire
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising in Scotland in 1745?\nA:""]","What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising in Scotland in 1745?","['plaid cloth', 'tartain', 'st davids tartan', 'balmoral tartan', 'sett textiles', 'clan tartan', 'tartans', 'scottish plaid', 'tartan patterns', 'plaid fabric', 'tartan', 'clan tartans', 'pattern tartan', 'district tartan']"," Kilts
Q: Who was the", Kilts
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: A Suffolk Punch is what kind of animal?\nA:""]",A Suffolk Punch is what kind of animal?,"['horse', 'equus caballus aryanus', 'equus caballus parvus', 'equus caballus asiaticus', 'horsie', 'horſe', '🐎', 'equus ferus caballus', 'equus caballus cracoviensis', 'domestic horse', 'equus caballus ewarti', 'equus laurentius', 'equus caballus typicus', 'hot blooded horse', 'equus caballus domesticus', 'horses', 'equus caballus nehringi', 'equine quadruped', 'nag horse', 'cold blooded horse', '🐴', 'equus caballus nordicus', 'equus caballus europaeus', 'equus caballus libycus', 'equus caballus', 'equus caballus robustus', 'equus caballus belgius', 'equus caballus africanus', 'equus cabalus', 'equus caballus brittanicus', 'equus caballus hibernicus', 'equine studies', 'domesticated horse', 'equine quadraped', 'equus caballus varius', 'equus caballus gallicus', 'equus caballus gracilis', 'domestic horse', 'horsies', 'equus caballus celticus', 'equines', 'equus caballus sylvestris']"," Horse
Q: What is the name", Horse
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: A merrythought is one of the popular names for which part of a bird?\nA:""]",A merrythought is one of the popular names for which part of a bird?,"['wish bones', 'wishbone disambiguation', 'wishbone', 'wish bone disambiguation', 'wishbone', 'wishbone', 'wishbones', 'wish bone']"," Wishbone
Q: What is the", Wishbone
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?\nA:""]","Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?","['adventurers', 'adventurer', 'adventures', 'adventure', 'trill seeking', 'adventurous', 'thrill seeking']"," Colossal Cave Adventure
Q: What", Colossal Cave Adventure
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the name for attacks on Jewish communities, especially those instigated by the authorities?\nA:""]","What is the name for attacks on Jewish communities, especially those instigated by the authorities?","['pogroms', 'pogromchiki', 'погром', 'list of events named pogrom', 'громить', 'pogram', 'pogromshchiki', 'settler progrom', 'pogrom', 'progrom', 'pogorom']"," Pogroms
Q: What", Pogroms
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?""\nA:']","""Who (although he claims that the author was an entity named Aiwass, his personal Holy Guardian Angel or """"Higher Self"""") is credited with writing """"Liber AL vel Legis"""", the central sacred text of Thelema, commonly referred to as The Book of the Law, in 1904?""","['aleister crowly', 'alesteir crowley', 'alistair crowley', 'alastair crowley', 'alestair crowley', 'aliestter crowley', 'great beast', 'aha', 'frater perdurabo', 'crowley aleister', 'aleister crowley biography', 'alistair crowley', 'alister crowley', 'great beast 666', 'maria ferrari de miramar', 'aliester crowley', 'aleister crowley biography', 'alick crowley', 'alexander crowley', 'aleister crowley', 'crowleyan', 'edward alexander crowley']"," Aleister Crowley
Q: What is", Aleister Crowley
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What would a polyandric woman have more than one of?\nA:""]",What would a polyandric woman have more than one of?,"['husband', 'husband']"," Husbands
Q: What is", Husbands
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: According to Greek legend, King Midas was ""blessed"" by the god Bacchus with the gift that all he touched would turn to what?\nA:']","According to Greek legend, King Midas was ""blessed"" by the god Bacchus with the gift that all he touched would turn to what?","['gold compound', 'aurous', 'gold consumption', 'auric ion', 'gold metal', 'gold metal', 'gold compounds', '🜚', 'gold toxicity', 'element lxxix', 'atomic number 79', 'aurric', 'au element', 'flour gold', 'native gold', 'lode gold', 'e175 e number', 'monatomic gold', 'gold jewelry', 'auric compound', 'gold making', 'australium', 'gold lot', 'use of gold', 'gold', 'gold poisoning', 'element 79', 'gold mineral', 'gold element', 'aurate', 'goldness']"," Gold
Q: Who was the first", Gold
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which 1983 film starring Shirley MacLaine and Debra Winger won 5 Oscars (Academy Awards)?\nA:""]",Which 1983 film starring Shirley MacLaine and Debra Winger won 5 Oscars (Academy Awards)?,"['emma greenway horton', 'terms of endearment film', 'terms of endearment movie', 'terms of endearment film', 'terms of endearment', 'aurora greenway', 'terms of endearment', 'terms of endearment']"," Terms of Endearment
Q:", Terms of Endearment
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: How was Lady Mallowan better known?\nA:""]",How was Lady Mallowan better known?,"['christie estate', 'agatha christie dbe', 'agatha cristie', 'agatha christies', 'dame agatha mary clarissa christie', 'agatha mary clarissa', 'agatha mary clarissa lady mallowan dbe nee miller', 'christie estate', 'agatha christy', 'dame agatha christie', 'christie agatha', 'mary westmacott', 'agatha mary clarissa christie', 'tropes in agatha christies novels', 'agatha mary clarissa lady mallowan', 'christie dame agatha mary clarissa', 'dame agatha mary clarissa miller lady mallowan dbe', 'plot devices in agatha christies novels', 'lady mallowan', 'agatha christie ltd', 'dame agatha mary clarissa lady mallowan dbe', 'agasta christie', 'agatha clarissa', 'agatha mary clarissa dame christie', 'agatha christie', 'lady agatha mallowan', 'agathe christie', 'agartha christie', 'agatha mallowan', 'agatha mary', 'agathe christi', 'agatha christie dbe', 'agatha christie', 'agatha mary clarissa lady mallowan dbe', 'agatha miller', 'agatha mary clarissa miller']"," Agatha Christie
Q: Who was", Agatha Christie
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Atychiphobia is the irrational fear of what?\nA:""]",Atychiphobia is the irrational fear of what?,"['major flops', 'unsuccess', 'list of product failures', 'failboat', 'failed', 'fail meme', 'phail', 'fail pictures', 'commercial failures', 'failure', 'epic fail', 'fail internet meme', 'fail', 'fail picture', 'epic fail', 'commercial failure', 'epic fail', 'failures', 'fail internet meme', 'phail', 'epic failure', 'mitt romney presidential campaign 2008', 'fail']"," Defeat
Q: What is the", Defeat
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is mixed with whisky to make a rusty nail\nA:""]",What is mixed with whisky to make a rusty nail,"['drambuie', 'drambui', 'drambooie']"," Drambuie
Q: What is the", Drambuie
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which standard orchestral instrument has a name which derives from the French for high wood?\nA:""]",Which standard orchestral instrument has a name which derives from the French for high wood?,"['conservatoire oboe', 'hautboy', 'oboe', 'making oboe reeds', 'hoboe', 'hautboy', 'french oboe', 'hoboy', 'oboe reed making', 'baroque oboe', 'oboe reed making', 'classic oboe', 'oboes', 'hautbois']"," Violin
Q: What is the", Violin
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Also containing Garlic and salt, what is the name of the Greek appetiser, the primary ingredients of which are yoghurt and cucumber?\nA:""]","Also containing Garlic and salt, what is the name of the Greek appetiser, the primary ingredients of which are yoghurt and cucumber?","['tsatsiki', 'tsatziki sauce', 'tziki', 'jajikh', 'ttalattouri', 'mast o khiar', 'tsatsiki sauce', 'tsatziki', 'jajiki', 'tzatzíki', 'tzatziki sauce', 'tzatziki', 'mastokhiar', 'talattouri', 'tzatsiki sauce', 'cucumber sauce', 'tzatziki', 'tzatsiki']"," Tzatziki
Q: What", Tzatziki
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ' Ophidian ' refers to what kind of creatures ?\nA:""]",' Ophidian ' refers to what kind of creatures ?,"['snkae', 'snakes', 'serpentes', 'serpentigenous', 'snake anatomy', '🐍', 'snakey', 'snake diet', 'snake locomotion', 'serpentiform', 'snake', 'snake food', 'snake zoology', 'coronellidae', 'snakiest', 'snakes']"," Snakes
Q: What is the", Snakes
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: River Phoenix died during the making of which movie?\nA:""]",River Phoenix died during the making of which movie?,"['dark blood film', 'dark blood']"," My Own Private Idaho
Q: What", My Own Private Idaho
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Kazakhstan, Mongolia, Chad, Niger, Mali and Ethiopia are the largest nations in the world without a?\nA:""]","Kazakhstan, Mongolia, Chad, Niger, Mali and Ethiopia are the largest nations in the world without a?","['list of coastal topics', 'coastal feature', 'sea coast', 'coastal formations', 'coastal landform', 'coasts', 'coastland', 'coast', 'coastline', 'coastal', 'pelagic coast', 'coastal ecosystem', 'coastal zone', 'coastal ecosystems', 'seacoast']"," Coastline
Q: What is the", Coastline
