input_prompt,question,correct_answers,output_prediction,processed_answer
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In which US state was singer Bruno Mars born?
A:",In which US state was singer Bruno Mars born?,"['haiwii', 'transport in hawaii', 'hawaii usa', 'us hi', 'hawaii united states', 'fiftieth state', 'health in hawaii', 'moku 60a ina o hawai 60i', 'hawaii', 'culture of hawaii', 'haiwaii', 'hawaii u s state', 'hawai i state', 'hawai i resident', 'state of hawai 60i', 'religion in hawaii', 'demographics of hawaiʻi', 'ハワイ', 'languages of hawaii', 'hawii', 'hawaiʻi', 'mokuʻāina o hawaiʻi', 'hawai i', 'state of hawai i', 'hawai 60i', 'haway', 'hawaiian culture', '50th state', 'demographics of hawaii', 'hawái', 'moku 60aina o hawai 60i', 'u s hi', 'state of hawaiʻi', 'howaii', 'owhyhee', 'hawaii resident', 'aloha state', 'education in hawaii', 'hawwaii', 'economy of hawaii', 'mokuʻa ina o hawaiʻi', 'hawaii state', 'state of hawaii', 'hawaií', 'geography of hawaii', 'hawaï']"," Lancaster County, Pennsylvania
Q: What is the name of the head of the"," Lancaster County, Pennsylvania"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?
A:","Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?","['calgary stampede and exhibition', 'calgary stampede', 'calgary stampede parade', 'stampede park', 'calgary exhibition and stampede', 'greatest outdoor show on earth', 'rangeland derby', 'calgary stampede rodeo']"," The Calgary Stampede
Q: What is the name of the head of the", The Calgary Stampede
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The character 'James Bond' was created by Ian Fleming, but who wrote the book 'Zero Minus Ten' featuring 'James Bond'?
A:","The character 'James Bond' was created by Ian Fleming, but who wrote the book 'Zero Minus Ten' featuring 'James Bond'?",['raymond benson']," Len Deighton
Q: What was the name of the head of the Nazis", Len Deighton
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What is the art of hand-making cricket bats called?
A:",What is the art of hand-making cricket bats called?,"['mongoose bat', 'podshaving', 'mongoose cricket bat', 'cricket bats', 'cricket bat', 'bat cricket', 'cricket bat industry of india', 'traditional indian cricket bat']"," The game of cricket has been played for over 1,000 years in England"," The game of cricket has been played for over 1,000 years in England"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Nino Farina was the first world champion of what?
A:",Nino Farina was the first world champion of what?,"['fórmula 1', 'f1 world championships', 'fia formula one world championship', 'formula one championship', 'f1 racing', 'f1 world championship', 'formula 1 world championship', 'f1', 'fia world championship', 'formula 1', 'f 1', 'fia world championships', 'formula1', 'thai grand prix', 'world championship of drivers', 'formula one world championship', 'formula one champion', 'formuli 1', 'formula1 com', 'constructors formula one', 'formel 1', 'formula one', '2018 formula one season']"," motocross
Q: What was the name of the head of the Nazis", motocross
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Who topped the U.K. charts for eleven successive weeks in 1955, with his version of the song """"Rose Marie""""?""
A:","""Who topped the U.K. charts for eleven successive weeks in 1955, with his version of the song """"Rose Marie""""?""","['otis whitman', 'ottis whitman', 'ottis dewey whitman jr', 'slim whitman', 'otis dewey 22slim 22 whitman', 'ottis dewey whitman']"," ""Who topped the U.K. charts for eleven successive weeks in 1955"," ""Who topped the U.K. charts for eleven successive weeks in 1955"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Used when making tea, and deriving from the Russian for 'self brewer', what name is given to the heated metal container traditionally used to heat and boil water in Russia, Iran and Turkey?
A:","Used when making tea, and deriving from the Russian for 'self brewer', what name is given to the heated metal container traditionally used to heat and boil water in Russia, Iran and Turkey?","['samowar', 'zavarka', 'samovar', 'electric samovar', 'semaver']"," Vacuum flask
Q: What is the name of Zaire's coat of arms", Vacuum flask
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Which 20th century English playwright wrote """"The Winslow Boy"""" and """"Separate Tables""""?""
A:","""Which 20th century English playwright wrote """"The Winslow Boy"""" and """"Separate Tables""""?""","['terrence rattigan', 'sir terence mervyn rattigan', 'terence rattigan', 'sir terence rattigan', 'rattigan', 'terence ratigan', 'terence mervyn rattigan']"," Alan Ayckbourn
Q: In the Scarlet Pimpernel,", Alan Ayckbourn
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What type of animal is a bonobo?
A:",What type of animal is a bonobo?,"['apes', 'simia satyrus', 'hominoids', 'ape family', 'history of hominoid taxonomy', 'ape', 'hominoidea', 'apish', 'hominoideas', 'hominoid', 'hominoidae']"," gorilla, chimpanzee, gorilla, gorilla, gorilla, gor"," gorilla, chimpanzee, gorilla, gorilla, gorilla, gor"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: A bird described as a 'palmiped' has which characteristic feature?
A:",A bird described as a 'palmiped' has which characteristic feature?,"['totipalmation', 'palmiped', 'webbed feet', 'webbed toes', 'web foot', 'webbed foot']"," an elongated tail
Q: What is the longest name in the world?
", an elongated tail
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Goliath is the name for a South American spider that eats what?
A:",Goliath is the name for a South American spider that eats what?,"['🐥', 'modern dinosaurs', 'avafauna', 'pet bird', 'baby birds', 'living dinosaurs in australasia', 'flying bird', 'bird breeding', 'nestlings', 'ornis', 'avialian', 'neornithes', '🐦', 'aves', 'roosting', 'nestling', 'class aves', 'modern bird', '🐤', 'avian proteins', 'ornithes', 'chick bird', 'avian reproduction', 'living sauropods in africa', 'avialan', 'roost site', 'surviving dinosaurs', 'birds mating', 'avifauna', 'avian dinosaur', '🐣', 'living dinosaurs in oceania', 'living sauropods', 'neornithine', 'bird', 'modern birds', 'birdness', 'chick guard stage', 'avialians', 'birds', 'bird reproduction', 'avians', 'aviala']"," black ants
Q: What is the longest name in the world?
Q:", black ants
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which 'Inn of Court' in London is missing - Lincoln's Inn, Inner Temple, Middle Temple and ........?
A:","Which 'Inn of Court' in London is missing - Lincoln's Inn, Inner Temple, Middle Temple and ........?","['grays inn', 'greys inn', 'honourable society of grays inn', 'honourable society of gray s inn', 'grey s inn', 'gray s inn']"," The Honourable Society of the Inner Temple
Q: Which actress starred in the", The Honourable Society of the Inner Temple
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which city is the ‘de facto capital’ of the European Union?
A:",Which city is the ‘de facto capital’ of the European Union?,"['region bruxelles capitale', 'région de bruxelles capitale', 'brusselian', 'bruxelles', 'bruessels', 'region brüssel hauptstadt', 'bebru', 'bruselas', 'brussles', 'brussel', 'région bruxelles capitale', 'region de bruxelles capital', 'brussels capital region', 'bruessel', 'brussels', 'bruxless', 'region de bruxelles capitale', 'brusells', 'brüssel', 'brüssels', 'région de bruxelles capital', 'brussels capital', 'brusselse region', 'brussels hoofdstedelijk gewest', 'brussells', 'region bruessel hauptstadt', 'brusels', 'un locode bebru', 'brussels belgium', 'bruxelle', 'brussels be', 'brussels region', 'region brussel hauptstadt']"," Brussels
Q: What is the name of the head of the Commonwealth of Nations", Brussels
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The People Party, founded in Coventry in 1972, changed its name in 1975 and again in 1985. The party is represented in Parliament, the Lords and the European Parliament, how is it now known?
A:","The People Party, founded in Coventry in 1972, changed its name in 1975 and again in 1985. The party is represented in Parliament, the Lords and the European Parliament, how is it now known?","['green party disambiguation', 'organized green party', 'greenparty', 'greens party', 'green party']"," The Labour Party ).
Q: What was the name of the head of the Royal", The Labour Party ).
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What was the name of Michael Jackson's autobiography written in 1988?
A:",What was the name of Michael Jackson's autobiography written in 1988?,"['moon walk', 'lunar walks', 'moonwalks', 'moonwalk disambiguation', 'lunar walking', 'moonwalking', 'lunar walk', 'walk on moon', 'moon walks', 'moon walking', 'moonwalk']"," ""Moonwalk: The Autobiography of Michael Jackson""
Q: In the"," ""Moonwalk: The Autobiography of Michael Jackson"""
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Regarded as its Nobel Prize, in what field is the annual Pritzer Prize awarded?
A:","Regarded as its Nobel Prize, in what field is the annual Pritzer Prize awarded?","['architecure', 'first art', 'architectures', 'architecturally', 'architectural work', 'architecture', 'civil architecture', 'art and history of architecture', 'frozen music', 'architectural', 'architecture built environment', 'archetecture']"," economists
Q: What is the name of the head of the Commonwealth of Nations", economists
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which poet wrote The Whitsun Weddings?
A:",Which poet wrote The Whitsun Weddings?,"['philip larkin', 'philip larkin society', 'philip arthur larkin', 'larkin society', 'larkinesque', 'larkinian', 'phillip larkin', 'philip arthur larkin ch cbe frsl']"," William Wordsworth
Q: What was the name of the head of the Nazis", William Wordsworth
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What are the first four words of the Bible, as recorded in Genesis?
A:","What are the first four words of the Bible, as recorded in Genesis?",['in beginning god']," In the beginning God created the heavens and the earth.
Q: What is the", In the beginning God created the heavens and the earth.
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In which capital city would you find Charles Bridge and Wenceslas Square?
A:",In which capital city would you find Charles Bridge and Wenceslas Square?,"['prague czech republic', 'praha czech republic', 'prague', 'un locode czprg', 'prague czechia', 'wards of prague', 'prahou', 'capital city of czech republic', 'praque', 'praha', 'prague czechoslovakia', 'prague bohemia', 'nuts praha', 'europe prague', 'prague bohemia czech republic', 'greater prague', 'historic centre of prague', 'prahy', 'capital of czech republic', 'prauge', 'prague tourism', 'city of prague', 'hlavní město praha', 'czprg', 'nuts prague']"," Prague, Czech Republic
Q: What is the name of the head of the"," Prague, Czech Republic"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who was the 2001 Wimbledon Women's Singles Champion?
A:",Who was the 2001 Wimbledon Women's Singles Champion?,"['venus ebony starr williams', 'venus williams', '2015 venus williams tennis season', '2014 venus williams tennis season', 'venus ebone starr williams']"," Martina Hingis
Q: Who was the 2001 Wimbledon Men", Martina Hingis
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""What is the setting for the 1942 painting, """"Nighthawks"""" by American artist, Edward Hopper?""
A:","""What is the setting for the 1942 painting, """"Nighthawks"""" by American artist, Edward Hopper?""","['dinner archive 1', 'dinner', 'diner', 'het diner']", The painting is set in a Grand Central Terminal restaurant in New York City in the, The painting is set in a Grand Central Terminal restaurant in New York City in the
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which Major League Baseball team plays its home games at Chase Field, built in 1992?
A:","Which Major League Baseball team plays its home games at Chase Field, built in 1992?","['arizona diamondback', 'arizona d backs', 'diamondbacks roster', 'diamondbacks', 'dbacks', 'arizona diamondbacks sports', 'd backs', 'diamond backs', 'phoenix diamondbacks', 'arizona diamondbacks', 'arizona dbacks']"," Arizona Diamondbacks
Q: What is the name of the head of Samoa's", Arizona Diamondbacks
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which former cabinet minister was debarred from Parliament because of irregularities in his 2010 election campaign for his Oldham East and Saddleworth constituency?
A:",Which former cabinet minister was debarred from Parliament because of irregularities in his 2010 election campaign for his Oldham East and Saddleworth constituency?,"['woolas', 'philip james woolas', 'phil woolas']"," Alastair Campbell
Q: In which year was the McDonalds fast food", Alastair Campbell
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In 2001, Dennis Tito paid a reported $20 million to be the first tourist to go where?
A:","In 2001, Dennis Tito paid a reported $20 million to be the first tourist to go where?","['geometrical space', 'physical space', 'three space', 'spacial', 'space astronomy', 'space', 'space physics', 'space philosophy']"," To the International Space Station
Q: What is the name of the head of", To the International Space Station
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Rolf Harris recorded a 1964 single calling for which member of The Beatles ‘For President’?
A:",Rolf Harris recorded a 1964 single calling for which member of The Beatles ‘For President’?,"['richard henry parkin starkey jr', 'richard starrkey', 'richie snare', 'richard starkey jr', 'ringo star', '22ringo 22', 'ringo starkey', 'starr ringo', 'richard starkey', 'ringo', 'ringo film', 'ringo starr', 'beatle ringo', 'richard starky']"," John Lennon
Q: In the Scarlet Pimpernel, the Scarlet P", John Lennon
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Nomophobia is the fear of being without or losing what?
A:",Nomophobia is the fear of being without or losing what?,"['cellular phone', 'mobilephone', 'flipfone', 'flip fone', 'mobile telephones', 'cellular phones', '📱', 'cell telephones', 'celluar telephone', 'mobile dance', 'mobil phone', 'radio common carrier', 'mobile phone', 'gsm phone', 'cellphone video', 'handphones', 'cell telephone', '0 g', 'mobile handsets', 'mobile telephone', 'celphone', 'secret cell phone', 'cellular telephones', 'phone dance', 'mobile wireless', 'mobile screen', 'cell phone dance', 'wireless phone', 'handphone', 'mobile handset', 'mobile loop', 'hand telephones', 'cellular radio', 'cell phones', 'cellular communication standard', 'hand phone', 'hand phones', 'cell phone', 'cellphone', 'cellphones', 'mobile display', 'mobile telecom', 'mobile communication standard', 'cellular device', 'kosher phone', 'cellular telephone technology', 'cellular telephone', 'mobile cellular wireless', 'cellular mobile', 'mobile terminal', 'mobile wireless communication', 'cell phone carrier', 'mobile phone dance', 'hand telephone', 'mobile cellular', 'mobile phones', 'environmental impact of mobile phones', 'cellular communication']"," a mobile phone
Q: Sage, thyme, rosemary and marj", a mobile phone
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who lured sailors on the Rhine to their deaths with her singing?
A:",Who lured sailors on the Rhine to their deaths with her singing?,"['lurlei', 'die lorelei', 'lorelei', 'lurking rock', 'loreley']"," the ""Swedish Nightingale"", Jenny Lind, was one of the most"," the ""Swedish Nightingale"", Jenny Lind, was one of the most"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which actress played Queen Victoria in the 1970s TV drama Edward the Seventh?
A:",Which actress played Queen Victoria in the 1970s TV drama Edward the Seventh?,"['annette crosby', 'annette crosbie']"," Zoë Wanamaker
Q: What is the name of the head of", Zoë Wanamaker
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What holiday is particularly associated with Morris Dancing?
A:",What holiday is particularly associated with Morris Dancing?,"['whitsuntide', 'whitsun', 'whit sunday', 'whitsunday', 'whit week']"," April Fool's Day, commonly known as April Fools' Day, is a"," April Fool's Day, commonly known as April Fools' Day, is a"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Aung San Suu Kyi is a controversial leader in which country?
A:",Aung San Suu Kyi is a controversial leader in which country?,"['myanmar formerly burma', 'republic of union of myanmar', 'myanmar burma', 'union of myanmar', 'birmania', 'union of burma', 'birman empire', 'birma', 'burmese republic', 'pyidaunzu thanmăda myăma nainngandaw', 'etymology of burma', 'ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်', 'economic sanctions against myanmar', 'mayanmar', 'sanctions against burma', 'socialist republic of union of burma', 'birmanie', 'economic sanctions against burma', 'iso 3166 1 mm', 'pyi daung zu myan ma naing ngan daw', 'borders of burma', 'eastern burma', 'burma', 'myanmer', 'myanma', 'မြန်မာပြည်', 'myanmar', 'mianmar', 'myammar', 'burma myanmar', 'ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော']"," Burma (Myanmar)
Q: What is the name of the head of state", Burma (Myanmar)
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: How many squares does a Rubik’s Cube have on each side?
A:",How many squares does a Rubik’s Cube have on each side?,"['nine', '9']"," A Rubik’s Cube has 32 squares on each side.
Q: What", A Rubik’s Cube has 32 squares on each side.
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What was the name of the IBM computer that defeated world chess champion Garry Kasparov in 1997?
A:",What was the name of the IBM computer that defeated world chess champion Garry Kasparov in 1997?,"['deepblue', 'deep blue', 'deep blue disambiguation']"," Watson
Q: What is the name of the head of FIFA, the international", Watson
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which racecourse hosts the Midlands Grand National in March each year?
A:",Which racecourse hosts the Midlands Grand National in March each year?,"['uttoxeter staffordshire', 'uttoxeter england', 'uttoxeter', 'wuttuceshǣddre']"," Aintree Racecourse in Liverpool, England
Q: In physics, what is"," Aintree Racecourse in Liverpool, England"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which country used to be called Southern Rhodesia?
A:",Which country used to be called Southern Rhodesia?,"['people of zimbabwe', 'zimbabwean cuisine', 'name of zimbabwe', 'etymology of zimbabwe', 'zimbabwae', 'zimbabwei', 'zimbawean', 'zimbabwean legends', 'zimbabwe', 'zimbabwian', 'iso 3166 1 zw', 'zimbabwean', 'chimpabwe', 'zimbabwean cultural practices', 'republic of zimbabwe', 'health care in zimbabwe', 'cuisine of zimbabwe', 'zimbobwe', 'zwe', 'republic zimbabwe']"," which country used to be called Southern Rhodesia?
A: all of the above", which country used to be called Southern Rhodesia?
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The long distance train, 'The Canadian', travels between Toronto and which other city?
A:","The long distance train, 'The Canadian', travels between Toronto and which other city?","['22a 22 victoria', 'civi dt', 'ctv vancouver island', 'civi tv', 'civi dt 2', 'channel victoria', 'new vi', 'ctv two vancouver island', 'vancouver island', 'civi', '22a 22 vancouver island', '22a 22 vancouver', 'channel vancouver island', 'victoria', 'vancouver', 'ctv two victoria']"," Lyon, France
Q: What is the name of the head of state of"," Lyon, France"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which horse race is held at Churchill Downs?
A:",Which horse race is held at Churchill Downs?,"['kentucky derby', 'ky derby', 'run for roses']"," The Kentucky Derby
Q: What is the name of the head of Samoa?
", The Kentucky Derby
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which book of the Old Testament explains how the festival of Purim came to be celebrated by the Jews?
A:",Which book of the Old Testament explains how the festival of Purim came to be celebrated by the Jews?,['esther']," the book of Esther.
Q: In physics, what is the motions of particles", the book of Esther.
