input_prompt,question,correct_answers,output_prediction,processed_answer
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What was the first British football team to win the European Cup?
A:",What was the first British football team to win the European Cup?,"['keltic', 'celtic disambiguation', 'celtic', 'celto']", What was the first British football team to, What was the first British football team to
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?
A:",John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,"['2', 'two']", How many letters make up the verse?, How many letters make up the verse?
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who does Emilio Estevez play in the 1988 film ‘Young Guns’?
A:",Who does Emilio Estevez play in the 1988 film ‘Young Guns’?,"['william h bonney', 'william henry mccarty', 'willam h bonney', 'billy kid s jailbreak', 'henry antrim', 'william henry bonney', 'bill bonney', 'john miller false billy kid', 'john miller outlaw', 'john miller billy kid claimant', 'billy kid', 'billie kid', 'william h bonnie', 'henry mccarty', 'william bonney', 'william bonnie']", – Celebrity.fm – #1 Official Stars, – Celebrity.fm – #1 Official Stars
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which constituency did Harold Macmillan represent when he was Prime Minister?
A:",Which constituency did Harold Macmillan represent when he was Prime Minister?,"['bromly', 'valley primary school', 'bromley kent', 'bromley london england', 'bromley town london', 'bromley', 'bromley england', 'breaside preparatory school', 'bromley london', 'bromley greater london', 'bromley bromley', 'widmore', 'bromley bromley london england']", Which constituency did Harold Macmillan represent, Which constituency did Harold Macmillan represent
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: From the Greek words for dry and plant what word is given to a plant that has adapted to survive in an environment with little available water?
A:",From the Greek words for dry and plant what word is given to a plant that has adapted to survive in an environment with little available water?,"['xeromorph', 'xerophyte', 'drought resistant plant', 'xerophytes', 'xerad', 'xerophytic', 'drought tolerant plant', 'xerophytism', 'xeriphyte', 'xerophytic vegetation']", A. xerophyte B., A. xerophyte B.
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What is the longest river in Canada?
A:",What is the longest river in Canada?,"['river mackenzie', 'deh cho river', 'mackenzie river delta', 'mackenzie river', 'mackenzie river valley', 'mackenzie valley', 'mackenzie river northwest territories', 'disappointment river']", The longest river in Canada is the Mack, The longest river in Canada is the Mack
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In which European country is the HQ of the food company, Nestle ?
A:","In which European country is the HQ of the food company, Nestle ?","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']", In which European country is the HQ of, In which European country is the HQ of
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What was the name of the family in the 1960s TV series `Upstairs Downstairs'?
A:",What was the name of the family in the 1960s TV series `Upstairs Downstairs'?,"['bellamy', 'bellamy disambiguation']", What was the name of the family in, What was the name of the family in
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Taphephobia is the abnormal fear of being what?
A:",Taphephobia is the abnormal fear of being what?,"['buried alive', 'living burial', 'texas funeral', 'texan funeral', 'london association for prevention of premature burial', 'be buried alive', 'burying alive', 'premature burial', 'vivisepulture', 'was buried alive', 'being buried alive', 'live burial', 'burial alive', 'premature interment']"," The answer is
Question: Taphe", The answer is
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Which actress played the Bond Girl, """"Solitaire"""" in the film """"Live and Let Die""""?""
A:","""Which actress played the Bond Girl, """"Solitaire"""" in the film """"Live and Let Die""""?""","['jane seymour', 'jane st maur', 'jane semour', 'queen jane seymour', 'jane seymour queen of england']"," ""Which actress played the Bond Girl,"," ""Which actress played the Bond Girl,"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who is featured on Puff Daddy's Can't Hold Me Down?
A:",Who is featured on Puff Daddy's Can't Hold Me Down?,"['officially back', 'murda mase', 'murder mase', 'mase', 'ma e', 'now we even', 'murda ma e', 'karma mase album', 'mason betha', 'mason durell betha']", Who is featured on Puff Daddy's, Who is featured on Puff Daddy's
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Mark Bolland is the current Dutch born CEO of which retail chain?
A:",Mark Bolland is the current Dutch born CEO of which retail chain?,"['per una', 'marks spencer group plc', 'marks spencer', 'marks spencer plc', 'marks spencers', 'simply food', 'st michael food hall', 'marks spencer simply food', 'marks and spencer plc', 'marks and spencer group plc', 'marks spencer outlet', 'shwopping', 'marks and spencers', 'marks and spencer outlet', 'm s simply food', 'marks and spencer p l c', 'marks spencer group', 'marks sparks', 'your m s', 'mands', 'marks and sparks', 'marks and spencer', 'marks expensive', 'm s', 'more']", Mark Bolland is the current Dutch born, Mark Bolland is the current Dutch born
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which is the largest borough in New York City?
A:",Which is the largest borough in New York City?,"['queens ny', 'timeline of queens history', 'queens nyc', 'queens nyc ny', 'queens county ny', 'queens county new york', 'queens united states', 'queens county long island', 'queens new york city', 'queens new york', 'queens new york city new york', 'queens', 'queens borough', 'louis armstrong middle school', 'government of queens', 'queens n y', 'ps 185 john m langston', 'queens new york city borough', 'borough of queens', 'queens new york new york', 'borough of queens new york']"," Manhattan, Brooklyn, Queens, Staten Island"," Manhattan, Brooklyn, Queens, Staten Island"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Who developed the men's scent """"I Am King"""", which was first marketed in February 2009?""
A:","""Who developed the men's scent """"I Am King"""", which was first marketed in February 2009?""","['sean 22puff daddy 22 combs', 'no way out ii', 'sean puffy combs', 'pdaddy', 'diddy entertainer', 'shaun combs', 'poppa pop', 'diddy rapper', 'sean “diddy” combs', 'p diddy', 'justin combs', 'puffy combs', 'puffy coombs', 'sean “p diddy” combs', 'sean p diddy combs', 'sir rock obama', 'sean puffy coombs', 'sean john combs', 'pdiddy', 'sean 22p diddy 22 combs', 'mmm album', 'puff daddy family', 'bad boy entertainment worldwide', 'bad boy family', 'mmm puff daddy album', 'puff daddy and family', 'sean combs', 'kimberly porter', 'puffy daddy', 'puff daddy', 'combs sean', 'sean comb', 'kim porter', 'sean 22diddy 22 combs', 'puff diddy', 'p daddy', 'sean 22puffy 22 combs', 'puffy diddy', 'shawn combs', 'hitmen production team', 'list of awards and nominations received by sean combs']"," Answer this
Who developed the men's", Answer this
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What planets orbit takes it the furthest away from the sun?
A:",What planets orbit takes it the furthest away from the sun?,"['planet neptune', '♆', 'neptune s weather', 'neptune', 'neptune s', 'scooter neptune', 'astronomy neptune', 'planet exterior to uranus', 'neptunus planet', 'neptune planet', 'eighth planet', 'magnetosphere of neptune', 'neptune s atmosphere', 'sol iix', 'le verrier s planet', 'neptuno planet', 'weather of neptune', 'neptune astronomy', 'neptune blue ocean planet', 'sun i', 'sol 8', '8th planet', 'sol viii', 'atmosphere of neptune']", A. Mercury B. Venus C., A. Mercury B. Venus C.
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Just north of Bolton, on which English motorway will you find Rivington Services?
A:","Just north of Bolton, on which English motorway will you find Rivington Services?","['m 61', 'm61 disambiguation', 'm61']", A. M6 B. M61, A. M6 B. M61
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which is the only country on mainland Europe to be in the same time zone as the UK?
A:",Which is the only country on mainland Europe to be in the same time zone as the UK?,"['portugul', 'portugallu', 'portugalska', 'pòtigal', 'portugaul', 'portugalujo', 'portuguese republic', 'iso 3166 1 pt', 'republic of portugal', 'portugalsko', 'portugual', 'bồ đào nha', 'portugall', 'portûnga', 'bo dao nha', 'phortaingeil', 'portugale', 'portugal', 'portugál', 'portugalėjė', 'portiwgal', 'phu to ga', 'portugalija', 'portugalio', 'portogallo', 'phû tô gâ', 'portegal', 'república portuguesa', 'portugāle', 'phortaingéil', 'yn phortiugal', 'portogało', 'portuga', 'portugaleje', 'portekiz', 'o papagaio', 'portunga', 'potigal', 'portekîz', 'pertual', 'portogalo', 'portugali', 'portyngal', 'republica portuguesa', 'portingale', 'portúgal', 'portgual', 'potiti']", Which is the only country on mainland Europe, Which is the only country on mainland Europe
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who was the British Admiral who died in 1707 when four of his ships were wrecked in the Scilly Isles?
A:",Who was the British Admiral who died in 1707 when four of his ships were wrecked in the Scilly Isles?,"['clowdesley shovell', 'shovell', 'cloudesley shorell', 'sir clowdisley shovell', 'clowdisley shovell', 'cloudsley shovell', 'sir cloudesley shovel', 'cloudesley shovel', 'cloudsley shovel', 'sir cloudesley shovell', 'cloudesley shovell']", Who was the British Admiral who died in, Who was the British Admiral who died in
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In Greek mythology, who were Arges, Brontes and Steropes?
A:","In Greek mythology, who were Arges, Brontes and Steropes?","['cyclopes disambiguation', 'cyclopes']"," In Greek mythology, who were Arges"," In Greek mythology, who were Arges"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which country, formerly known as Pleasant Island, is the smallest island country in the world?
A:","Which country, formerly known as Pleasant Island, is the smallest island country in the world?","['iso 3166 1 nr', 'etymology of nauru', 'nauru i', 'subdivisions of nauru', 'nahuru', 'nauru military', 'pacific nauru', 'nauru', 'districts of nauru', 'republic of nauru', 'administrative divisions of nauru', 'nauru island', 'naoero', 'ripublik naoero', 'list of islands of nauru', 'environmental issues in nauru']", It is located in the South Pacific Ocean, It is located in the South Pacific Ocean
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: To within five years either way, in which year was the Boy Scout movement founded by Robert Baden-Powell?
A:","To within five years either way, in which year was the Boy Scout movement founded by Robert Baden-Powell?","['one thousand nine hundred and seven', '1907']", a) 1907 b) , a) 1907 b) 
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who presents the new BBC documentary Science Britannica?
A:",Who presents the new BBC documentary Science Britannica?,['professor brian cox'], What is the name of the new BBC, What is the name of the new BBC
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Miami Beach in Florida borders which ocean?
A:",Miami Beach in Florida borders which ocean?,"['east atlantic', 'atlantic ocean', 'north atlantic ocean', 'ethiopian ocean', 'oceanvs occidentalis', 'atlantic basic', 'south atlantic', 'altantic ocean', 'south atlantic ocean', 'atlantic basin', 'north atlantic fisheries', 'northern atlantic', 'north east atlantic', 'antlantic ocean', 'sea of atlas', 'occidental ocean', 'atlantic', 'across pond', 'atlantic coast', 'atlantic oceans', 'north atlantic', 'ethiopic ocean', 'pond', 'central atlantic', 'atlantis thalassa']", A. Atlantic Ocean B. Pacific Ocean, A. Atlantic Ocean B. Pacific Ocean
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which modern-day country staged the sailing events for the 1980 Moscow Olympics?
A:",Which modern-day country staged the sailing events for the 1980 Moscow Olympics?,"['eestimaa', 'igaunija', 'etymology of estonia', 'administrative divisions of estonia', 'republic of estonia', 'estonie', 'subdivisions of estonia', 'name of estonia', 'republic of estonia 1918 1940', 'esthonia', 'estonia', 'republic of estonia 1918–1940', 'estija', 'eesti vabariik', 'iso 3166 1 ee', 'эстония']", The answer is the Soviet Union. The, The answer is the Soviet Union. The
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: If you had a seal point and/or a blue point, what breed of cat do you have?
A:","If you had a seal point and/or a blue point, what breed of cat do you have?","['siamese', 'siamese disambiguation']", If you had a seal point and/or, If you had a seal point and/or
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?
A:",What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,"['governor and company of adventurers of england', 'hudson bay company', 'hudson s bay oil and gas company', 'hudson bay oil gas', 'hudson s bay company', 'compagnie de la baie d hudson', 'governor and company of adventurers of england trading into hudson s bay', 'hudson s bay co', 'hudsons bay company']", A. Hudson's Bay Company B., A. Hudson's Bay Company B.
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which sculptor's works include St Michael's Victory over the Devil at Coventry Cathedral and Jacob and the Angel?
A:",Which sculptor's works include St Michael's Victory over the Devil at Coventry Cathedral and Jacob and the Angel?,"['jacob epstein', 'kathleen epstein', 'epstein sir jacob', 'jacob epstein sculptor', 'sir jacob epstein']"," (2019)
Which sculptor's", (2019)
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Italian brothers Francesco and Edoardo Molinari play what sport?
A:",Italian brothers Francesco and Edoardo Molinari play what sport?,"['golfing', 'scramble golf', 'men s golf', 'development of golf technology', '🏌', 'duffs', 'duffed', 'golf sport', 'golfer', 'golf tournament', 'golf', 'scotch foursomes', 'golf technology', 'golf conditioning', 'texas scramble']"," The answer is
Francesco and", The answer is
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which town was the birthplace of David Garrick?
A:",Which town was the birthplace of David Garrick?,"['hereford city council', 'hennffordd', 'hereford england', 'hereford', 'hereford herefordshire']", A. Stratford-upon-Avon, A. Stratford-upon-Avon
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: How is the number 14 written in Roman numerals?
A:",How is the number 14 written in Roman numerals?,"['fourteen', 'xiv', '14']", The number 14 is written in Roman, The number 14 is written in Roman
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: By what name is singer 'Anthony Dominic Benevetto' better known?
A:",By what name is singer 'Anthony Dominic Benevetto' better known?,"['bennett tony', 'anthony benedetto', 'joe bari', 'anthony dominick benedetto', 'tony bennet', 'tony bennett singer', 'tony bennett', 'anthony dominick bennett']", In which year was he born? What, In which year was he born? What
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who painted The Luncheon of the Boating Party in 1881?
A:",Who painted The Luncheon of the Boating Party in 1881?,"['pierre auguste renoir', 'firmin auguste renoir', 'renoir pierre auguste', 'auguste renoir', 'pierre august renoir', 'renoir']", Who painted The Luncheon of the Bo, Who painted The Luncheon of the Bo
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In Greek mythology, Tiresias disclosed the crimes of who?
A:","In Greek mythology, Tiresias disclosed the crimes of who?","['edipus', 'oedepus', 'oedipus', 'oidipous', 'œdipus', 'oedipe']", Oedipus and Jocasta, Oedipus and Jocasta
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: """"""Holding Back the Years"""", was a US No 1 hit record for which British pop group?""
A:","""""""Holding Back the Years"""", was a US No 1 hit record for which British pop group?""","['simple red', 'simply red', 'frantic elevators']", was a US No 1 hit record, was a US No 1 hit record
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Followers of what cult leader committed mass suicide by drinking Flavor-Ade?
A:",Followers of what cult leader committed mass suicide by drinking Flavor-Ade?,"['james warren jones', 'jim jones cult leader', 'jim warren jones', 'james warren 22jim 22 jones', 'rev jim jones', 'jim jones']", Followers of what cult leader committed mass suicide, Followers of what cult leader committed mass suicide
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Benina international airport is in which country?
A:",Benina international airport is in which country?,"['iso 3166 1 ly', 'libyan republic 2011', 'lby', 'free libya', 'etymology of libya', 'lybya', 'state of libya', 'libiya', 'islamic republic of libya', 'libya national transitional council', 'ليبيا', 'free democratic libya', 'largest cities in libya', 'republic of libya', 'libyan republic', 'ⵍⵉⴱⵢⴰ', 'lībiyā', 'libiyah', 'al jamahiriya al 60arabiyah al libiyah ash sha 60biyah al ishtirakiyah al uzma', 'libya']", Benina international airport is in which country, Benina international airport is in which country
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which city is the headquarters of the Mormon church
A:",Which city is the headquarters of the Mormon church,"['kilby court', 'salt lake city', 'salt lake city usa', 'salt lake city utah usa', 'salt lake utah', 'salt lake city ut usa', 'salt lake city ut', 'sl ut', 'salt lake cit', 'great salt lake city', 'capital of utah', 'utah state capital', 'salt lake ut', 'grid plan salt lake city', 'salt lake city utah', 'un locode usslc', 'saltlake city', 'j e cosgriff memorial catholic school']","?
Which city is the headquarters of the",?
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Who played the part of Tony Wilson in the film '24 Hour Party People'?
A:",Who played the part of Tony Wilson in the film '24 Hour Party People'?,"['steve coogen', 'steve coogan', 'three fights two weddings and funeral', 'duncan thicket', 'pauline calf', 'paul calf', 'tony ferrino']", Who played the part of Tony Wilson in, Who played the part of Tony Wilson in
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which type of fish is used to make an Arbroath Smokie?
A:",Which type of fish is used to make an Arbroath Smokie?,"['melanogrammus aeglefinus', 'melanogrammus', 'haddock']", The Arbroath Smokie is a, The Arbroath Smokie is a
